bug id,bug type (CWE),component,Short,input,privilege,mitigation,bounty,introduced_date,reported_date,fixed_date,Has Similar Bug?,third-party
368241697,CWE-843,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,55000,2022-01-12,2024-09-20,2024-09-25,No,No
368208152,CWE-125,Internals > Mojo > Core,Mojo,browser-js,browser,1,35000,N/A,2024-09-19,2024-09-23,No,No
367764861,CWE-680,Blink > Layout > Ruby,Ruby,html,renderer,0,10000,2024-06-04,2024-09-18,2024-09-19,No,No
367755363,CWE-416,Blink > AI,AI,browser-js,browser,1,36000,2024-08-08,2024-09-18,2024-10-02,No,No
366381662,CWE-617,Blink > JavaScript > Compiler > Maglev,V8,JS,renderer,0,10000,2024-08-12,2024-09-13,2024-09-18,No,No
365802567,CWE-843,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,55000,2023-01-05,2024-09-11,2024-09-17,No,No
365802556,CWE-562,Blink > CSS,Blink,html,renderer,0,11000,2024-07-05,2024-09-10,2024-09-13,Yes,No
365376497,CWE-843,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,55000,N/A,2024-09-08,2024-09-10,No,No
365254285,CWE-416,Dawn > Tint,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-09-08,2024-09-16,No,dxcompiler
361784548,CWE-416,Blink > PresentationAPI,PresentationAPI,gesture,renderer,0,11000,2015-08-07,2024-08-23,2024-08-30,Yes,No
361461526,CWE-680,Internals > Skia,Skia,graphic shader,gpu,1,15000,2017-05-03,2024-08-22,2024-08-29,Yes,No
360758697,CWE-680,Internals > Skia,Skia,graphic shader,gpu,1,15000,2016-08-26,2024-08-19,2024-08-21,Yes,No
360533914,CWE-843,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,55000,2022-03-31,2024-08-19,2024-08-20,Yes,No
360265320,CWE-680,Internals > Skia,Skia,graphic shader,gpu,1,15000,2022-01-11,2024-08-16,2024-08-19,Yes,No
359909532,CWE-125,Blink > WebGPU,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-08-15,2024-08-29,No,mesa
358296941,CWE-416,UI > Browser > Passwords,UI,gesture,browser,1,36000,2023-09-13,2024-08-08,2024-08-09,Yes,No
357484640,CWE-121,Blink > WebGL,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-08-05,2024-08-19,No,mesa
356196918,CWE-125,Blink > JavaScript > Compiler > Turbofan,V8,JS,renderer,0,11000,2020-09-03,2024-07-30,2024-08-08,No,No
355465305,CWE-680,Internals > Skia,Skia,graphic shader,gpu,1,15000,2023-07-18,2024-07-25,2024-08-09,No,No
355139788,CWE-416,UI > Browser > Autofill > Payments,UI,gesture,browser,1,36000,2024-05-23,2024-07-24,2024-08-09,No,No
354748060,CWE-1281,Dawn > Tint,Dawn,graphic shader,gpu,0,10000,2024-04-25,2024-07-23,2024-07-24,No,No
353552540,CWE-416,UI > Browser > Sharing,UI,gesture,browser,1,11000,2022-10-14,2024-07-17,2024-07-22,No,No
353034820,CWE-1281,Dawn > Tint,Dawn,graphic shader,gpu,0,10000,N/A,2024-07-15,2024-07-22,No,No
351327767,CWE-125,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,20000,2023-08-04,2024-07-06,2024-07-11,No,No
349198731,CWE-416,UI > Browser > Download,UI,gesture,browser,1,11000,2018-02-20,2024-06-25,2024-06-27,No,No
348598133,CWE-617,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,11000,2024-03-21,2024-06-22,2024-06-27,Yes,No
348129258,CWE-122,PDFium,ThirdParty,image,renderer,0,11000,2024-05-25,2024-06-19,2024-06-21,No,libopenjpeg
346618785,CWE-562,Dawn > Tint,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-06-12,2024-07-15,No,dxcompiler
346597059,CWE-617,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,10000,2023-11-16,2024-06-12,2024-06-21,No,No
345960102,CWE-617,Blink > JavaScript > Compiler > Turbofan,V8,JS,renderer,0,11000,2022-11-21,2024-06-10,2024-07-01,No,No
345993680,CWE-416,Dawn > Tint,ThirdParty,graphic shader,gpu,0,11000,N/A,2024-06-09,2024-06-18,No,dxcompiler
345822331,CWE-416,Dawn > Tint,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-06-08,2024-06-12,No,dxcompiler
344639860,CWE-416,Dawn > Tint,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-06-04,2024-06-12,No,dxcompiler
343035068,CWE-125,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,11000,2024-05-14,2024-05-28,2024-06-03,No,No
342545100,CWE-416,Dawn > Tint,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-05-24,2024-06-18,No,dxcompiler
342456991,CWE-843,Blink > JavaScript,V8,JS,renderer,0,25000,2024-03-19,2024-05-24,2024-05-31,Yes,No
342428008,CWE-416,Dawn > Tint,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-05-23,2024-06-11,No,dxcompiler
342415789,CWE-843,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,11000,2024-05-13,2024-05-23,2024-05-29,No,No
340196361,CWE-416,Dawn > Tint,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-05-13,2024-05-30,No,dxcompiler
339877167,CWE-416,Blink > Network > StreamsAPI,Network,renderer-js,renderer,0,11000,2020-12-04,2024-05-11,2024-05-21,No,No
339169163,CWE-125,Dawn > Tint,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-05-07,2024-06-10,No,dxcompiler
339171223,CWE-416,Dawn > Tint,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-05-07,2024-05-30,No,dxcompiler
338908243,CWE-843,Blink > JavaScript > WebAssembly,V8,JS,renderer,0,10000,2023-09-13,2024-05-06,2024-05-10,Yes,No
338248595,CWE-269,Platform > DevTools,DevTool,browser-js,browser,1,20000,2023-07-07,2024-05-02,2024-07-08,No,No
338103465,CWE-416,Dawn > Tint,ThirdParty,graphic shader,gpu,0,10000,N/A,2024-05-01,2024-05-21,No,dxcompiler
338162110,CWE-416,UI > Accessibility > Compatibility,UI,gesture,browser,1,10000,2024-03-20,2024-05-01,2024-05-23,No,No
